t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.028,3,1,job finish
2.807,2,1,job finish
2.807,3,2,job start
3.491,5,1,job finish
3.828,0,1,job finish
3.828,0,2,job start
4.538,4,1,job finish
4.538,5,2,job start
4.538,4,2,job start
5.579,6,1,job finish
5.579,6,2,job start
5.758,3,2,job finish
6.548,4,2,job finish
6.548,4,3,job start
7.211,0,2,job finish
7.211,0,3,job start
7.756,5,2,job finish
7.756,5,3,job start
8.491,6,2,job finish
8.491,6,3,job start
8.586,4,3,job finish
9.045,1,1,job finish
9.045,2,2,job start
9.045,1,2,job start
9.602,0,3,job finish
9.602,0,4,job start
10.177,5,3,job finish
10.177,5,4,job start
11.959,0,4,job finish
11.959,0,5,job start
12.122,6,3,job finish
12.122,6,4,job start
13.375,1,2,job finish
13.375,1,3,job start
14.34,5,4,job finish
14.414,2,2,job finish
14.414,3,3,job start
14.414,2,3,job start
15.443,6,4,job finish
15.443,6,5,job start
18.204,3,3,job finish
18.204,4,4,job start
18.245,2,3,job finish
18.245,3,4,job start
18.375,6,5,job finish
22.952,1,3,job finish
22.952,2,4,job start
22.952,1,4,job start
23.322,0,5,job finish
23.322,0,6,job start
23.37,3,4,job finish
25.581,4,4,job finish
25.581,5,5,job start
25.581,4,5,job start
26.211,1,4,job finish
26.211,1,5,job start
29.126,1,5,job finish
29.126,1,6,job start
29.699,5,5,job finish
29.699,6,6,job start
30.049,2,4,job finish
30.049,3,5,job start
30.049,2,5,job start
30.969,0,6,job finish
30.969,0,7,job start
31.397,4,5,job finish
31.397,5,6,job start
32.676,3,5,job finish
32.676,4,6,job start
33.343,6,6,job finish
33.838,2,5,job finish
33.838,3,6,job start
33.838,2,6,job start
34.108,5,6,job finish
34.108,6,7,job start
34.696,0,7,job finish
34.696,0,8,job start
35.074,1,6,job finish
35.074,1,7,job start
36.24,2,6,job finish
36.24,2,7,job start
36.864,4,6,job finish
36.864,5,7,job start
36.951,6,7,job finish
38.33,1,7,job finish
38.33,1,8,job start
40.831,1,8,job finish
40.961,5,7,job finish
40.961,6,8,job start
41.244,0,8,job finish
41.244,1,9,job start
41.244,0,9,job start
43.219,2,7,job finish
43.219,2,8,job start
43.865,6,8,job finish
44.939,0,9,job finish
44.939,0,10,job start
45.339,1,9,job finish
45.339,1,10,job start
45.439,2,8,job finish
45.439,2,9,job start
47.468,1,10,job finish
48.361,0,10,job finish
48.361,1,11,job start
48.361,0,11,job start
48.475,3,6,job finish
48.475,4,7,job start
48.475,3,7,job start
50.353,2,9,job finish
50.353,2,10,job start
51.233,3,7,job finish
51.233,3,8,job start
51.378,4,7,job finish
51.378,5,8,job start
51.378,4,8,job start
52.39,2,10,job finish
52.39,2,11,job start
53.742,3,8,job finish
53.742,3,9,job start
54.68,1,11,job finish
54.692,0,11,job finish
54.692,1,12,job start
54.692,0,12,job start
55.181,4,8,job finish
55.181,4,9,job start
56.835,3,9,job finish
56.835,3,10,job start
57.218,2,11,job finish
57.218,2,12,job start
58.131,5,8,job finish
58.131,6,9,job start
58.131,5,9,job start
58.224,4,9,job finish
58.224,4,10,job start
60.702,4,10,job finish
60.88,3,10,job finish
60.88,4,11,job start
60.88,3,11,job start
61.57,1,12,job finish
62.19,6,9,job finish
63.417,0,12,job finish
63.417,1,13,job start
63.417,0,13,job start
64.271,4,11,job finish
65.976,5,9,job finish
65.976,6,10,job start
65.976,5,10,job start
66.769,1,13,job finish
67.616,0,13,job finish
67.616,1,14,job start
67.616,0,14,job start
67.642,3,11,job finish
67.642,4,12,job start
67.642,3,12,job start
68.795,2,12,job finish
68.795,2,13,job start
69.154,6,10,job finish
71.111,5,10,job finish
71.111,6,11,job start
71.111,5,11,job start
71.441,2,13,job finish
71.441,2,14,job start
71.74,3,12,job finish
71.74,3,13,job start
72.502,1,14,job finish
74.123,5,11,job finish
74.123,5,12,job start
77.171,5,12,job finish
77.525,0,14,job finish
77.525,1,15,job start
77.525,0,15,job start
77.682,3,13,job finish
77.682,3,14,job start
78.034,6,11,job finish
78.034,6,12,job start
