t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.685,0,1,job finish
2.685,0,2,job start
2.758,6,1,job finish
3.349,3,1,job finish
3.629,2,1,job finish
3.629,3,2,job start
4.968,4,1,job finish
4.968,4,2,job start
5.758,5,1,job finish
5.758,6,2,job start
5.758,5,2,job start
6.278,1,1,job finish
6.278,2,2,job start
6.278,1,2,job start
8.312,4,2,job finish
9.182,3,2,job finish
9.182,4,3,job start
9.617,1,2,job finish
9.724,0,2,job finish
9.724,1,3,job start
9.724,0,3,job start
10.351,5,2,job finish
10.351,5,3,job start
10.97,6,2,job finish
10.97,6,3,job start
11.78,0,3,job finish
11.78,0,4,job start
12.848,4,3,job finish
13.999,5,3,job finish
13.999,5,4,job start
14.078,6,3,job finish
14.078,6,4,job start
15.516,2,2,job finish
15.516,3,3,job start
15.516,2,3,job start
16.84,6,4,job finish
17.558,0,4,job finish
17.558,0,5,job start
18.012,3,3,job finish
18.012,4,4,job start
20.1,4,4,job finish
20.173,5,4,job finish
20.173,6,5,job start
20.173,5,5,job start
20.259,0,5,job finish
20.259,0,6,job start
20.897,2,3,job finish
20.897,3,4,job start
21.387,1,3,job finish
21.387,2,4,job start
21.387,1,4,job start
23.614,5,5,job finish
23.863,3,4,job finish
23.863,4,5,job start
24.032,6,5,job finish
24.032,6,6,job start
24.227,2,4,job finish
24.227,3,5,job start
26.842,3,5,job finish
26.896,0,6,job finish
26.896,0,7,job start
27.715,6,6,job finish
28.05,1,4,job finish
28.05,2,5,job start
28.05,1,5,job start
28.339,4,5,job finish
28.339,5,6,job start
28.339,4,6,job start
30.75,1,5,job finish
30.75,1,6,job start
32.506,0,7,job finish
32.506,0,8,job start
32.535,5,6,job finish
32.535,6,7,job start
33.903,1,6,job finish
33.903,1,7,job start
35.185,6,7,job finish
35.531,2,5,job finish
35.531,3,6,job start
35.531,2,6,job start
35.808,4,6,job finish
35.808,5,7,job start
37.306,1,7,job finish
37.306,1,8,job start
37.679,0,8,job finish
37.679,0,9,job start
38.547,5,7,job finish
38.547,6,8,job start
38.923,2,6,job finish
38.923,2,7,job start
39.631,3,6,job finish
39.631,4,7,job start
39.631,3,7,job start
41.122,1,8,job finish
41.122,1,9,job start
41.763,0,9,job finish
41.763,0,10,job start
42.68,6,8,job finish
42.841,3,7,job finish
43.835,4,7,job finish
43.835,5,8,job start
43.835,4,8,job start
44.239,2,7,job finish
44.239,3,8,job start
44.239,2,8,job start
44.857,1,9,job finish
44.857,1,10,job start
46.296,2,8,job finish
46.296,2,9,job start
47.61,1,10,job finish
47.635,3,8,job finish
47.635,3,9,job start
48.317,2,9,job finish
48.317,2,10,job start
50.024,4,8,job finish
50.024,4,9,job start
50.776,0,10,job finish
50.776,1,11,job start
50.776,0,11,job start
50.924,5,8,job finish
50.924,6,9,job start
50.924,5,9,job start
51.228,3,9,job finish
51.228,3,10,job start
51.724,2,10,job finish
51.724,2,11,job start
52.798,0,11,job finish
52.798,0,12,job start
53.032,6,9,job finish
53.416,4,9,job finish
53.416,4,10,job start
53.798,1,11,job finish
53.798,1,12,job start
53.97,5,9,job finish
53.97,6,10,job start
53.97,5,10,job start
54.101,3,10,job finish
54.101,3,11,job start
55.631,0,12,job finish
55.631,0,13,job start
55.695,4,10,job finish
55.695,4,11,job start
56.016,6,10,job finish
56.367,2,11,job finish
56.367,2,12,job start
56.527,5,10,job finish
56.527,6,11,job start
56.527,5,11,job start
58.044,3,11,job finish
58.044,3,12,job start
59.453,6,11,job finish
59.656,0,13,job finish
59.656,0,14,job start
59.788,5,11,job finish
59.788,6,12,job start
60.997,4,11,job finish
60.997,5,12,job start
60.997,4,12,job start
61.283,3,12,job finish
63.031,2,12,job finish
63.031,3,13,job start
63.263,0,14,job finish
63.263,0,15,job start
64.618,6,12,job finish
64.691,5,12,job finish
64.691,6,13,job start
64.779,4,12,job finish
64.779,5,13,job start
64.779,4,13,job start
65.008,1,12,job finish
65.008,2,13,job start
65.008,1,13,job start
65.537,0,15,job finish
65.537,0,16,job start
67.392,5,13,job finish
