,S0,S1,S2,S3,S4,S5,S6,bottleneck
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,S0
3,0.6829999999999998,0.6829999999999998,3.0,3.0,3.0,0.06199999999999983,3.0,S2
4,1.6829999999999998,1.6829999999999998,0.6880000000000002,4.0,4.0,1.0619999999999998,0.528,S3
5,2.683,2.683,1.6880000000000002,5.0,5.0,2.062,1.528,S3
6,3.683,3.683,2.688,0.001000000000000334,0.001000000000000334,3.062,2.528,S0
7,4.683,4.683,3.688,1.0010000000000003,1.0010000000000003,4.061999999999999,0.4059999999999997,S0
8,5.683,0.673,4.688000000000001,2.0010000000000003,2.0010000000000003,5.061999999999999,1.4059999999999997,S0
9,6.683,1.673,5.688000000000001,3.0010000000000003,3.0010000000000003,6.061999999999999,2.4059999999999997,S0
10,7.683,2.673,6.688000000000001,4.001,4.001,7.061999999999999,3.4059999999999997,S0
11,8.683,3.673,7.688000000000001,5.001,5.001,8.062,4.406,S0
12,9.683,4.673,8.688,6.001,0.4320000000000004,0.8490000000000002,5.406,S0
13,10.683,5.673,0.06400000000000006,7.001,1.4320000000000004,1.8490000000000002,6.406,S0
14,11.683,6.673,1.064,8.001000000000001,2.4320000000000004,2.849,7.406,S0
15,12.683,7.673,2.064,9.001000000000001,3.4320000000000004,3.849,8.405999999999999,S0
16,13.683,8.673,3.064,10.001000000000001,4.432,4.849,9.405999999999999,S0
17,14.683,9.673,4.064,11.001000000000001,0.6290000000000013,5.849,10.405999999999999,S0
18,15.683,10.673,5.064,12.001000000000001,1.6290000000000013,6.849,11.405999999999999,S0
19,16.683,11.673,6.064,13.001000000000001,2.6290000000000013,7.849,0.6630000000000003,S0
20,17.683,12.673,7.064,14.001000000000001,3.6290000000000013,8.849,1.6630000000000003,S0
21,18.683,13.673,8.064,15.001000000000001,4.629000000000001,9.849,2.6630000000000003,S0
22,19.683,14.673,9.064,16.001,5.629000000000001,10.849,3.6630000000000003,S0
23,20.683,15.673,10.064,17.001,6.629000000000001,11.849,4.663,S0
24,21.683,16.673000000000002,11.064,18.001,7.629000000000001,12.849,5.663,S0
25,22.683,17.673000000000002,0.7250000000000014,19.001,8.629000000000001,13.849,6.663,S0
26,23.683,18.673000000000002,1.7250000000000014,20.001,0.4989999999999988,14.849,0.5060000000000002,S0
27,24.683,19.673000000000002,2.7250000000000014,21.001,1.4989999999999988,15.849,1.5060000000000002,S0
28,25.683,20.673000000000002,3.7250000000000014,22.001,2.4989999999999988,0.021999999999998465,2.5060000000000002,S0
29,26.683,21.673000000000002,4.725000000000001,23.001,3.4989999999999988,1.0219999999999985,3.5060000000000002,S0
30,27.683,22.673000000000002,0.27199999999999847,24.001,0.027999999999998693,2.0219999999999985,4.506,S0
