t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.025,3,1,job finish
2.078,6,1,job finish
3.077,2,1,job finish
3.077,3,2,job start
3.243,1,1,job finish
3.243,2,2,job start
4.095,0,1,job finish
4.095,1,2,job start
4.095,0,2,job start
4.985,5,1,job finish
4.985,6,2,job start
6.562,2,2,job finish
7.312,0,2,job finish
7.312,0,3,job start
7.344,1,2,job finish
7.344,2,3,job start
7.344,1,3,job start
8.044,3,2,job finish
8.044,3,3,job start
8.779,6,2,job finish
9.444,0,3,job finish
9.444,0,4,job start
10.758,3,3,job finish
10.907,4,1,job finish
10.907,5,2,job start
10.907,4,2,job start
12.928,1,3,job finish
12.928,1,4,job start
12.936,2,3,job finish
12.936,3,4,job start
12.936,2,4,job start
13.611,4,2,job finish
13.611,4,3,job start
13.628,0,4,job finish
13.628,0,5,job start
16.082,3,4,job finish
16.267,2,4,job finish
16.267,3,5,job start
16.393,0,5,job finish
16.393,0,6,job start
16.898,5,2,job finish
16.898,6,3,job start
16.898,5,3,job start
17.21,1,4,job finish
17.21,2,5,job start
17.21,1,5,job start
18.485,3,5,job finish
19.45,5,3,job finish
20.397,6,3,job finish
20.397,6,4,job start
20.521,2,5,job finish
20.521,3,6,job start
21.483,4,3,job finish
21.483,5,4,job start
21.483,4,4,job start
21.731,0,6,job finish
21.731,0,7,job start
22.105,1,5,job finish
22.105,2,6,job start
22.105,1,6,job start
23.784,6,4,job finish
24.279,2,6,job finish
24.805,1,6,job finish
24.805,2,7,job start
24.805,1,7,job start
24.932,4,4,job finish
24.932,4,5,job start
25.27,0,7,job finish
25.27,0,8,job start
26.653,5,4,job finish
26.653,6,5,job start
26.653,5,5,job start
27.381,4,5,job finish
27.381,4,6,job start
28.107,1,7,job finish
28.107,1,8,job start
29.518,5,5,job finish
29.518,5,6,job start
30.746,0,8,job finish
30.746,0,9,job start
31.022,1,8,job finish
31.022,1,9,job start
31.582,4,6,job finish
32.071,2,7,job finish
32.071,2,8,job start
33.176,5,6,job finish
33.176,5,7,job start
33.437,3,6,job finish
33.437,4,7,job start
33.437,3,7,job start
33.584,0,9,job finish
33.584,0,10,job start
36.026,0,10,job finish
36.026,0,11,job start
36.36,1,9,job finish
36.36,1,10,job start
36.843,4,7,job finish
37.083,2,8,job finish
37.083,2,9,job start
37.472,3,7,job finish
37.472,4,8,job start
37.472,3,8,job start
37.759,6,5,job finish
37.759,6,6,job start
38.69,1,10,job finish
38.69,1,11,job start
39.772,5,7,job finish
39.772,5,8,job start
40.216,6,6,job finish
40.216,6,7,job start
40.338,0,11,job finish
40.338,0,12,job start
40.414,3,8,job finish
40.414,3,9,job start
40.62,2,9,job finish
40.62,2,10,job start
40.825,4,8,job finish
40.825,4,9,job start
42.286,5,8,job finish
42.286,5,9,job start
42.978,2,10,job finish
42.978,2,11,job start
43.573,1,11,job finish
43.573,1,12,job start
43.816,4,9,job finish
44.029,6,7,job finish
44.029,6,8,job start
45.335,2,11,job finish
45.335,2,12,job start
45.644,5,9,job finish
45.644,5,10,job start
47.468,1,12,job finish
47.72,3,9,job finish
47.72,4,10,job start
47.72,3,10,job start
49.625,2,12,job finish
49.625,2,13,job start
49.765,3,10,job finish
49.765,3,11,job start
50.39,4,10,job finish
50.39,4,11,job start
50.449,6,8,job finish
50.449,6,9,job start
51.121,0,12,job finish
51.121,1,13,job start
51.121,0,13,job start
51.878,5,10,job finish
51.878,5,11,job start
52.874,2,13,job finish
53.094,3,11,job finish
53.094,3,12,job start
53.257,0,13,job finish
53.257,0,14,job start
54.43,5,11,job finish
55.449,6,9,job finish
55.449,6,10,job start
55.633,3,12,job finish
55.633,3,13,job start
57.136,1,13,job finish
57.136,2,14,job start
57.136,1,14,job start
57.95,0,14,job finish
57.95,0,15,job start
58.274,6,10,job finish
58.274,6,11,job start
59.937,2,14,job finish
59.971,0,15,job finish
59.971,0,16,job start
61.568,6,11,job finish
61.568,6,12,job start
62.026,1,14,job finish
62.026,2,15,job start
62.026,1,15,job start
63.08,3,13,job finish
63.08,3,14,job start
