t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.773,2,1,job finish
3.452,4,1,job finish
5.17,1,1,job finish
5.17,2,2,job start
5.224,5,1,job finish
5.224,5,2,job start
6.274,3,1,job finish
6.274,4,2,job start
6.274,3,2,job start
7.418,2,2,job finish
8.04,5,2,job finish
8.089,0,1,job finish
8.089,1,2,job start
8.089,0,2,job start
8.457,4,2,job finish
8.457,5,3,job start
9.292,3,2,job finish
9.292,4,3,job start
9.292,3,3,job start
10.128,1,2,job finish
10.128,2,3,job start
12.251,4,3,job finish
12.601,6,1,job finish
12.601,6,2,job start
12.724,0,2,job finish
12.724,1,3,job start
12.724,0,3,job start
13.318,2,3,job finish
14.166,5,3,job finish
14.166,5,4,job start
14.561,3,3,job finish
14.561,4,4,job start
14.561,3,4,job start
15.213,6,2,job finish
15.213,6,3,job start
16.027,0,3,job finish
16.027,0,4,job start
16.625,1,3,job finish
16.625,2,4,job start
16.625,1,4,job start
17.22,4,4,job finish
18.411,6,3,job finish
18.411,6,4,job start
19.126,2,4,job finish
19.559,0,4,job finish
19.559,0,5,job start
20.224,1,4,job finish
20.224,2,5,job start
20.224,1,5,job start
21.329,3,4,job finish
21.329,4,5,job start
21.329,3,5,job start
22.288,0,5,job finish
22.288,0,6,job start
23.063,2,5,job finish
23.555,6,4,job finish
23.87,3,5,job finish
23.87,3,6,job start
24.102,1,5,job finish
24.102,2,6,job start
24.102,1,6,job start
24.552,0,6,job finish
24.552,0,7,job start
25.257,5,4,job finish
25.257,6,5,job start
25.257,5,5,job start
26.304,3,6,job finish
26.412,1,6,job finish
26.412,1,7,job start
26.447,4,5,job finish
26.447,4,6,job start
28.513,2,6,job finish
28.513,3,7,job start
28.513,2,7,job start
28.739,4,6,job finish
28.739,4,7,job start
28.874,1,7,job finish
30.58,2,7,job finish
30.58,2,8,job start
31.768,0,7,job finish
31.768,1,8,job start
31.768,0,8,job start
32.504,6,5,job finish
33.245,4,7,job finish
33.496,5,5,job finish
33.496,6,6,job start
33.496,5,6,job start
33.881,1,8,job finish
34.993,0,8,job finish
34.993,1,9,job start
34.993,0,9,job start
35.899,6,6,job finish
36.642,3,7,job finish
36.642,4,8,job start
36.642,3,8,job start
37.093,1,9,job finish
37.245,5,6,job finish
37.245,6,7,job start
37.245,5,7,job start
38.051,2,8,job finish
38.051,2,9,job start
39.355,4,8,job finish
39.508,6,7,job finish
39.776,0,9,job finish
39.776,1,10,job start
39.776,0,10,job start
41.547,5,7,job finish
41.547,6,8,job start
41.547,5,8,job start
42.125,3,8,job finish
42.125,4,9,job start
42.125,3,9,job start
42.234,2,9,job finish
42.234,2,10,job start
44.053,0,10,job finish
44.053,0,11,job start
44.085,6,8,job finish
44.343,4,9,job finish
44.615,1,10,job finish
44.615,1,11,job start
45.599,5,8,job finish
45.599,6,9,job start
45.599,5,9,job start
45.873,3,9,job finish
45.873,4,10,job start
45.873,3,10,job start
47.834,1,11,job finish
47.985,0,11,job finish
47.985,1,12,job start
47.985,0,12,job start
48.018,5,9,job finish
48.018,5,10,job start
48.066,6,9,job finish
48.066,6,10,job start
48.173,4,10,job finish
48.283,2,10,job finish
48.283,2,11,job start
49.696,3,10,job finish
49.696,4,11,job start
49.696,3,11,job start
51.646,0,12,job finish
51.646,0,13,job start
52.025,6,10,job finish
52.772,3,11,job finish
53.044,5,10,job finish
53.044,6,11,job start
53.044,5,11,job start
53.348,2,11,job finish
53.348,3,12,job start
53.348,2,12,job start
54.281,4,11,job finish
54.281,4,12,job start
55.17,6,11,job finish
56.592,5,11,job finish
56.592,6,12,job start
56.592,5,12,job start
56.867,2,12,job finish
57.06,4,12,job finish
57.241,1,12,job finish
57.241,2,13,job start
57.241,1,13,job start
57.559,3,12,job finish
57.559,4,13,job start
57.559,3,13,job start
58.954,6,12,job finish
59.148,0,13,job finish
59.148,0,14,job start
60.176,1,13,job finish
60.176,1,14,job start
61.486,4,13,job finish
62.09,0,14,job finish
62.09,0,15,job start
62.105,5,12,job finish
62.105,6,13,job start
62.105,5,13,job start
