t,B0,B1,B2,B3,B4,B5,B6,B7
1,4,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0
3,4,0,0,0,1,0,1,0
4,5,0,0,0,0,0,1,0
5,5,0,0,0,0,0,0,1
6,5,0,1,0,0,0,0,1
7,4,0,1,0,0,1,0,1
8,5,0,1,0,0,1,0,1
9,5,0,0,1,0,0,0,2
10,5,0,0,1,0,0,0,2
11,5,0,0,0,0,0,0,2
12,4,0,0,1,0,0,0,3
13,5,0,0,1,0,0,0,3
14,5,0,0,1,0,1,0,3
15,5,0,0,2,0,0,0,3
16,5,0,0,1,0,0,0,3
17,5,0,0,1,0,0,1,3
18,4,0,0,1,0,0,1,3
19,5,0,0,1,0,0,1,3
20,5,0,0,1,0,0,0,4
21,5,0,0,1,0,0,0,4
22,4,1,0,1,0,0,0,4
23,5,1,0,1,0,0,1,4
24,5,1,0,1,0,0,1,4
25,4,2,0,0,0,0,0,5
26,5,2,0,0,0,0,1,5
27,5,2,0,0,0,0,1,5
28,5,2,0,0,0,0,0,6
29,4,3,0,0,0,0,0,6
30,5,3,0,0,0,0,1,6
31,5,3,0,0,0,0,0,7
32,5,3,0,0,0,0,0,7
33,4,4,0,0,0,0,0,7
34,5,3,0,0,0,0,0,8
35,5,3,0,0,0,0,0,8
36,4,4,0,0,0,0,0,8
37,5,3,1,0,0,0,0,8
38,5,3,1,0,0,0,0,8
39,5,3,1,0,0,0,0,8
40,4,3,1,0,0,0,0,8
41,5,3,1,0,0,0,0,8
42,5,3,1,0,0,0,0,8
43,5,3,0,0,0,0,0,8
44,5,2,1,0,0,0,0,8
45,5,2,1,0,0,0,0,9
46,4,3,1,0,0,0,0,9
47,5,3,1,0,0,0,0,9
48,5,2,2,0,0,0,0,9
49,5,2,1,1,0,0,0,9
50,5,2,1,0,0,0,0,9
51,4,2,1,1,0,0,0,9
52,5,2,1,1,0,0,0,9
53,5,2,1,0,0,0,0,9
54,4,3,0,1,0,0,0,9
55,5,3,0,1,0,0,0,9
56,4,3,0,2,0,0,0,10
57,5,3,0,2,0,0,0,10
58,5,3,0,2,0,0,0,10
59,4,4,0,2,0,0,0,10
60,5,4,0,2,0,0,0,10
61,4,5,0,3,0,0,0,11
62,5,5,0,3,0,0,0,11
63,5,4,0,3,0,0,0,11
64,4,5,0,2,0,0,0,11
65,5,5,0,3,0,0,0,11
66,5,4,0,2,1,0,0,11
67,5,4,0,2,1,0,0,12
68,5,4,0,2,0,0,0,12
69,4,4,1,1,1,0,0,12
70,5,4,1,1,1,0,0,12
71,5,4,0,2,1,0,0,12
72,5,3,1,2,1,0,0,12
73,5,3,0,2,1,0,0,12
74,5,3,0,2,1,0,0,13
75,5,3,0,3,1,0,0,13
76,5,2,0,2,1,0,0,13
77,4,3,0,2,1,0,0,13
78,5,3,0,3,1,0,0,13
79,5,3,0,2,1,1,0,13
80,4,4,0,2,1,1,0,14
81,5,3,0,2,1,1,0,14
82,5,3,0,2,1,0,0,14
83,5,3,0,1,1,1,0,14
84,5,2,0,2,1,1,0,14
85,5,2,0,2,1,0,1,14
86,4,3,0,2,1,0,0,15
87,5,3,0,1,1,1,0,15
88,5,3,0,1,1,1,0,15
89,5,3,0,1,1,1,0,16
90,4,4,0,2,1,1,0,16
91,5,4,0,2,1,0,0,16
92,5,4,0,2,0,1,0,16
93,5,3,0,2,0,1,0,16
94,4,4,0,2,0,1,0,16
95,5,3,1,2,0,1,1,16
96,5,3,0,2,0,1,1,16
97,5,3,0,2,0,1,1,16
98,5,3,0,2,0,1,0,17
99,4,4,0,2,0,1,0,17
100,5,4,0,2,0,2,0,17
101,5,4,0,2,0,2,0,17
102,5,4,0,2,0,2,0,17
103,5,3,1,2,0,2,0,17
104,5,3,1,1,0,2,0,17
105,5,3,0,2,0,1,1,17
106,5,2,1,1,1,1,0,18
107,4,3,1,1,1,1,0,18
108,5,3,1,1,0,1,1,18
109,5,2,2,1,0,1,1,18
110,4,3,2,0,1,1,1,18
111,5,3,2,0,0,1,1,19
112,5,2,3,0,0,1,1,19
113,5,2,2,1,0,1,1,19
114,5,2,2,1,0,1,1,19
115,5,2,2,1,0,2,1,19
116,4,3,1,1,0,2,1,19
117,5,2,2,1,0,2,0,20
118,5,2,2,1,0,1,1,20
119,5,2,2,0,1,1,1,20
120,5,2,1,1,0,1,2,20
121,5,1,2,1,0,1,1,21
122,5,1,1,2,0,1,1,21
123,5,0,2,2,0,2,1,21
124,5,0,2,2,0,2,0,22
125,4,0,2,2,0,1,1,22
126,5,0,2,2,0,1,1,22
127,5,0,1,3,0,1,1,22
128,5,0,1,2,0,1,1,23
129,5,0,2,2,0,1,1,23
130,5,0,1,3,0,0,2,23
131,5,0,1,3,0,0,1,24
132,5,0,1,3,0,0,2,24
133,5,0,1,2,0,0,2,24
134,5,0,0,3,0,0,1,25
135,5,0,0,3,0,0,1,25
136,4,0,0,3,0,0,2,25
137,5,0,0,3,0,0,1,26
138,5,0,0,3,0,0,1,26
139,5,0,0,2,1,0,1,26
140,5,0,0,2,1,0,2,26
141,4,1,0,2,1,0,2,26
142,5,0,0,1,1,0,1,27
143,5,0,0,1,1,0,1,27
144,5,0,0,1,1,0,1,27
145,5,0,0,0,1,1,1,27
146,4,1,0,0,1,0,2,27
147,5,1,0,1,0,1,2,27
148,5,1,0,0,1,0,2,28
149,5,1,0,0,1,0,2,28
150,4,2,0,0,1,0,2,28
151,5,1,0,0,2,0,1,29
152,4,2,0,0,1,1,1,29
153,5,2,0,0,1,0,2,29
154,5,2,0,0,0,1,2,29
155,5,2,0,0,0,1,2,29
156,5,2,0,0,1,0,3,29
157,5,2,0,0,0,1,3,29
158,4,2,0,0,0,1,2,30
159,5,2,0,0,0,1,3,30
160,4,3,0,0,0,1,3,30
161,5,3,0,0,0,1,2,31
162,5,3,0,0,0,1,2,31
163,5,3,0,0,0,1,1,32
164,5,3,0,0,0,0,2,32
165,5,3,0,0,0,0,2,32
166,4,4,0,0,0,0,1,33
167,5,3,0,0,0,0,1,33
168,5,3,0,0,0,0,1,33
169,5,3,0,0,0,0,1,33
170,4,3,1,0,0,0,0,34
171,5,3,0,0,0,0,1,34
172,5,3,0,0,0,0,1,34
173,5,3,0,0,0,0,0,35
174,4,4,0,0,1,0,0,35
175,5,4,0,0,0,0,0,35
176,5,4,0,0,0,0,0,35
177,5,4,0,0,0,0,1,35
178,5,4,0,0,0,0,1,35
179,4,4,0,0,0,0,1,35
180,5,4,0,0,0,0,0,36
181,5,4,0,0,0,0,0,36
182,5,4,0,0,0,0,0,36
183,5,3,0,0,0,0,1,36
184,4,4,0,0,0,0,1,36
185,5,4,0,0,0,0,1,36
186,5,4,0,0,0,0,1,36
187,4,4,0,0,0,0,0,37
188,5,4,0,0,0,0,1,37
189,5,3,0,0,0,0,1,37
190,4,4,0,0,0,1,0,38
