t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.139,2,1,job finish
3.176,6,1,job finish
3.813,3,1,job finish
3.813,3,2,job start
4.038,1,1,job finish
4.038,2,2,job start
4.316,5,1,job finish
4.316,6,2,job start
4.385,0,1,job finish
4.385,1,2,job start
4.385,0,2,job start
6.501,1,2,job finish
6.668,4,1,job finish
6.668,5,2,job start
6.668,4,2,job start
6.991,3,2,job finish
7.307,6,2,job finish
9.146,4,2,job finish
9.146,4,3,job start
9.791,0,2,job finish
9.791,1,3,job start
9.791,0,3,job start
9.81,5,2,job finish
9.81,6,3,job start
9.81,5,3,job start
13.73,6,3,job finish
14.051,2,2,job finish
14.051,3,3,job start
14.051,2,3,job start
15.147,0,3,job finish
15.147,0,4,job start
16.113,4,3,job finish
16.238,3,3,job finish
16.238,4,4,job start
16.362,5,3,job finish
16.362,6,4,job start
16.362,5,4,job start
17.244,2,3,job finish
17.244,3,4,job start
17.64,0,4,job finish
17.64,0,5,job start
18.869,1,3,job finish
18.869,2,4,job start
18.869,1,4,job start
19.262,4,4,job finish
19.328,3,4,job finish
19.328,4,5,job start
20.096,6,4,job finish
20.621,0,5,job finish
20.621,0,6,job start
21.006,5,4,job finish
21.006,6,5,job start
21.006,5,5,job start
21.863,4,5,job finish
22.835,2,4,job finish
22.835,3,5,job start
23.051,6,5,job finish
24.364,0,6,job finish
24.364,0,7,job start
24.532,5,5,job finish
24.532,6,6,job start
24.532,5,6,job start
24.776,1,4,job finish
24.776,2,5,job start
24.776,1,5,job start
26.811,1,5,job finish
26.811,1,6,job start
26.853,0,7,job finish
26.853,0,8,job start
27.017,5,6,job finish
27.277,6,6,job finish
27.277,6,7,job start
27.947,3,5,job finish
27.947,4,6,job start
29.168,0,8,job finish
29.168,0,9,job start
29.615,6,7,job finish
30.879,2,5,job finish
30.879,3,6,job start
30.879,2,6,job start
31.676,0,9,job finish
31.676,0,10,job start
33.19,4,6,job finish
33.19,5,7,job start
33.258,2,6,job finish
34.234,1,6,job finish
34.234,2,7,job start
34.234,1,7,job start
35.525,3,6,job finish
35.525,4,7,job start
35.525,3,7,job start
35.555,0,10,job finish
35.555,0,11,job start
36.539,1,7,job finish
36.539,1,8,job start
37.966,2,7,job finish
37.966,2,8,job start
38.098,0,11,job finish
38.098,0,12,job start
38.127,5,7,job finish
38.127,6,8,job start
38.523,4,7,job finish
38.523,5,8,job start
39.792,1,8,job finish
39.792,1,9,job start
39.969,2,8,job finish
39.969,2,9,job start
39.974,3,7,job finish
39.974,4,8,job start
39.974,3,8,job start
40.524,0,12,job finish
40.524,0,13,job start
41.931,5,8,job finish
42.163,1,9,job finish
42.163,1,10,job start
43.081,0,13,job finish
43.081,0,14,job start
43.139,6,8,job finish
43.139,6,9,job start
44.613,1,10,job finish
44.613,1,11,job start
45.142,0,14,job finish
45.142,0,15,job start
45.394,2,9,job finish
45.394,2,10,job start
45.588,3,8,job finish
45.588,3,9,job start
45.606,4,8,job finish
45.606,5,9,job start
45.606,4,9,job start
47.364,1,11,job finish
47.364,1,12,job start
47.653,3,9,job finish
47.653,3,10,job start
47.708,4,9,job finish
47.708,4,10,job start
48.115,5,9,job finish
48.115,5,10,job start
48.911,0,15,job finish
48.911,0,16,job start
50.007,3,10,job finish
50.203,6,9,job finish
50.203,6,10,job start
50.593,2,10,job finish
50.593,3,11,job start
50.593,2,11,job start
50.657,1,12,job finish
50.657,1,13,job start
50.88,4,10,job finish
50.88,4,11,job start
51.268,0,16,job finish
51.268,0,17,job start
51.68,5,10,job finish
51.68,5,11,job start
52.75,3,11,job finish
52.916,4,11,job finish
52.916,4,12,job start
53.21,2,11,job finish
53.21,3,12,job start
53.21,2,12,job start
54.937,5,11,job finish
54.937,5,12,job start
55.024,1,13,job finish
55.024,1,14,job start
56.121,2,12,job finish
56.121,2,13,job start
56.718,4,12,job finish
57.116,3,12,job finish
57.116,4,13,job start
57.116,3,13,job start
57.385,5,12,job finish
57.385,5,13,job start
57.464,6,10,job finish
57.464,6,11,job start
58.297,1,14,job finish
