t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.078,4,1,job finish
2.171,3,1,job finish
2.171,4,2,job start
2.333,5,1,job finish
2.333,5,2,job start
2.564,6,1,job finish
2.564,6,2,job start
2.728,0,1,job finish
2.728,0,2,job start
4.963,2,1,job finish
4.963,3,2,job start
5.724,1,1,job finish
5.724,2,2,job start
5.724,1,2,job start
6.364,5,2,job finish
6.453,4,2,job finish
6.453,5,3,job start
7.119,0,2,job finish
7.119,0,3,job start
7.881,6,2,job finish
7.881,6,3,job start
8.877,1,2,job finish
8.877,1,3,job start
9.427,3,2,job finish
9.427,4,3,job start
9.623,2,2,job finish
9.623,3,3,job start
9.623,2,3,job start
10.656,5,3,job finish
11.326,1,3,job finish
12.055,6,3,job finish
12.055,6,4,job start
12.149,3,3,job finish
12.747,2,3,job finish
12.747,3,4,job start
12.747,2,4,job start
13.834,0,3,job finish
13.834,1,4,job start
13.834,0,4,job start
14.722,4,3,job finish
14.722,5,4,job start
14.722,4,4,job start
15.712,2,4,job finish
16.145,3,4,job finish
16.145,3,5,job start
16.767,4,4,job finish
16.767,4,5,job start
16.776,1,4,job finish
16.776,2,5,job start
17.689,0,4,job finish
17.689,1,5,job start
17.689,0,5,job start
18.987,6,4,job finish
19.175,5,4,job finish
19.175,6,5,job start
19.175,5,5,job start
19.501,2,5,job finish
19.738,0,5,job finish
19.738,0,6,job start
20.513,3,5,job finish
20.513,3,6,job start
20.584,1,5,job finish
20.584,2,6,job start
20.584,1,6,job start
21.405,5,5,job finish
21.951,0,6,job finish
21.951,0,7,job start
22.296,4,5,job finish
22.296,5,6,job start
22.296,4,6,job start
22.709,1,6,job finish
22.709,1,7,job start
23.064,3,6,job finish
24.494,5,6,job finish
25.344,4,6,job finish
25.344,5,7,job start
25.344,4,7,job start
25.436,6,5,job finish
25.436,6,6,job start
26.154,0,7,job finish
26.154,0,8,job start
26.762,1,7,job finish
26.762,1,8,job start
27.428,2,6,job finish
27.428,3,7,job start
27.428,2,7,job start
27.906,5,7,job finish
28.572,6,6,job finish
28.572,6,7,job start
28.808,1,8,job finish
29.032,4,7,job finish
29.032,5,8,job start
29.451,0,8,job finish
29.451,1,9,job start
29.451,0,9,job start
30.613,6,7,job finish
30.613,6,8,job start
31.741,2,7,job finish
31.741,2,8,job start
32.531,3,7,job finish
32.531,4,8,job start
32.531,3,8,job start
33.416,6,8,job finish
33.594,0,9,job finish
33.594,0,10,job start
34.472,1,9,job finish
34.472,1,10,job start
35.136,2,8,job finish
35.136,2,9,job start
35.514,5,8,job finish
35.514,6,9,job start
38.061,4,8,job finish
38.061,5,9,job start
38.309,1,10,job finish
39.506,6,9,job finish
39.911,0,10,job finish
39.911,1,11,job start
39.911,0,11,job start
39.977,3,8,job finish
39.977,4,9,job start
39.977,3,9,job start
41.673,2,9,job finish
41.673,2,10,job start
42.244,0,11,job finish
42.244,0,12,job start
42.441,1,11,job finish
42.441,1,12,job start
42.475,4,9,job finish
43.085,5,9,job finish
43.085,6,10,job start
43.085,5,10,job start
43.947,3,9,job finish
43.947,4,10,job start
43.947,3,10,job start
45.378,2,10,job finish
45.378,2,11,job start
45.55,1,12,job finish
46.372,6,10,job finish
46.692,0,12,job finish
46.692,1,13,job start
46.692,0,13,job start
47.333,4,10,job finish
48.014,3,10,job finish
48.014,4,11,job start
48.014,3,11,job start
48.451,5,10,job finish
48.451,6,11,job start
48.451,5,11,job start
48.756,0,13,job finish
48.756,0,14,job start
48.937,2,11,job finish
48.937,2,12,job start
50.123,1,13,job finish
50.123,1,14,job start
50.854,6,11,job finish
50.913,3,11,job finish
50.913,3,12,job start
51.292,5,11,job finish
51.292,6,12,job start
51.873,4,11,job finish
51.873,5,12,job start
51.873,4,12,job start
52.32,0,14,job finish
52.32,0,15,job start
52.754,1,14,job finish
52.754,1,15,job start
53.847,3,12,job finish
54.007,5,12,job finish
54.085,6,12,job finish
54.085,6,13,job start
54.186,4,12,job finish
54.186,5,13,job start
54.186,4,13,job start
54.88,1,15,job finish
