,S0,S1,S2,S3,S4,S5,S6,bottleneck
33,30.627,8.198,15.561,27.381,14.134,11.442,27.845,S0
34,31.627,9.198,16.561,28.381,15.134,12.442,28.845,S0
35,32.627,10.198,0.05799999999999983,29.381,16.134,13.442,29.845,S0
36,33.627,11.198,1.0579999999999998,30.381,17.134,14.442,30.845,S0
37,34.627,12.198,2.058,31.381,18.134,15.442,31.845,S0
38,35.627,13.198,3.058,32.381,19.134,16.442,32.845,S0
39,36.627,14.198,4.058,33.381,20.134,17.442,33.845,S0
40,37.627,15.198,5.058,34.381,21.134,18.442,0.2150000000000034,S0
41,38.627,16.198,6.058,35.381,22.134,19.442,1.2150000000000034,S0
42,39.627,17.198,7.058,36.381,23.134,20.442,2.2150000000000034,S0
43,40.627,18.198,8.058,37.381,24.134,21.442,3.2150000000000034,S0
44,41.627,19.198,9.058,38.381,25.134,22.442,4.215000000000003,S0
45,42.627,20.198,10.058,39.381,26.134,23.442,5.215000000000003,S0
46,43.627,21.198,11.058,40.381,27.134,24.442,6.215000000000003,S0
47,44.627,22.198,12.058,41.381,28.134,25.442,7.215000000000003,S0
48,45.627,23.198,13.058,42.381,29.134,26.442,8.215000000000003,S0
49,46.627,24.198,14.058,0.14699999999999847,30.134,27.442,9.215000000000003,S0
50,47.627,25.198,15.058,1.1469999999999985,31.134,28.442,10.215000000000003,S0
51,48.627,26.198,16.058,2.1469999999999985,32.134,29.442,11.215000000000003,S0
52,49.627,27.198,17.058,3.1469999999999985,33.134,30.442,12.215000000000003,S0
53,50.627,28.198,18.058,4.1469999999999985,34.134,31.442,0.6649999999999991,S0
54,51.627,29.198,19.058,5.1469999999999985,35.134,32.442,1.6649999999999991,S0
55,52.627,0.5850000000000009,20.058,6.1469999999999985,36.134,33.442,2.664999999999999,S0
56,53.627,1.5850000000000009,21.058,7.1469999999999985,37.134,34.442,3.664999999999999,S0
57,54.627,2.585000000000001,22.058,8.146999999999998,38.134,35.442,4.664999999999999,S0
58,55.627,3.585000000000001,23.058,9.146999999999998,39.134,36.442,5.664999999999999,S0
59,56.627,4.585000000000001,0.5660000000000025,10.146999999999998,40.134,37.442,6.664999999999999,S0
60,57.627,5.585000000000001,1.5660000000000025,11.146999999999998,41.134,38.442,7.664999999999999,S0
61,58.627,6.585000000000001,2.5660000000000025,12.146999999999998,42.134,39.442,8.665,S0
62,59.627,0.1529999999999987,3.5660000000000025,13.146999999999998,43.134,40.442,9.665,S0
63,60.627,1.1529999999999987,4.5660000000000025,14.146999999999998,44.134,41.442,10.665,S0
64,61.627,2.1529999999999987,5.5660000000000025,15.146999999999998,45.134,42.442,11.665,S0
65,62.627,0.07800000000000296,6.5660000000000025,16.147,46.134,43.442,12.665,S0
66,63.627,1.078000000000003,7.5660000000000025,17.147,0.8760000000000048,44.442,13.665,S0
67,64.627,2.078000000000003,8.566000000000003,18.147,1.8760000000000048,45.442,14.665,S0
68,65.627,3.078000000000003,9.566000000000003,19.147,2.8760000000000048,46.442,15.665,S0
69,66.627,4.078000000000003,10.566000000000003,20.147,3.8760000000000048,47.442,16.665,S0
70,67.627,5.078000000000003,11.566000000000003,21.147,4.876000000000005,48.442,17.665,S0
71,68.627,0.9270000000000067,12.566000000000003,22.147,5.876000000000005,0.043000000000006366,18.665,S0
72,69.627,1.9270000000000067,13.566000000000003,23.147,6.876000000000005,1.0430000000000064,19.665,S0
73,70.627,2.9270000000000067,14.566000000000003,24.147,7.876000000000005,2.0430000000000064,20.665,S0
74,71.627,3.9270000000000067,15.566000000000003,25.147,8.876000000000005,3.0430000000000064,21.665,S0
75,72.627,4.927000000000007,0.847999999999999,26.147,9.876000000000005,4.043000000000006,22.665,S0
76,73.627,5.927000000000007,1.847999999999999,27.147,10.876000000000005,5.043000000000006,23.665,S0
77,74.627,6.927000000000007,2.847999999999999,28.147,11.876000000000005,6.043000000000006,0.722999999999999,S0
78,75.627,7.927000000000007,3.847999999999999,29.147,12.876000000000005,7.043000000000006,1.722999999999999,S0
79,76.627,8.927000000000007,4.847999999999999,30.147,13.876000000000005,8.043000000000006,2.722999999999999,S0
80,77.627,0.9959999999999951,5.847999999999999,31.147,14.876000000000005,9.043000000000006,3.722999999999999,S0
81,78.627,1.9959999999999951,6.847999999999999,32.147,15.876000000000005,10.043000000000006,4.722999999999999,S0
82,79.627,2.995999999999995,7.847999999999999,33.147,16.876000000000005,11.043000000000006,5.722999999999999,S0
83,80.627,3.995999999999995,8.847999999999999,34.147,17.876000000000005,12.043000000000006,6.722999999999999,S0
84,81.627,4.995999999999995,9.847999999999999,35.147,18.876000000000005,13.043000000000006,7.722999999999999,S0
85,82.627,5.995999999999995,10.847999999999999,36.147,19.876000000000005,14.043000000000006,8.722999999999999,S0
86,83.627,6.995999999999995,11.847999999999999,37.147,20.876000000000005,15.043000000000006,9.722999999999999,S0
87,84.627,7.995999999999995,12.847999999999999,38.147,21.876000000000005,16.043000000000006,10.722999999999999,S0
88,85.627,8.995999999999995,13.847999999999999,39.147,22.876000000000005,17.043000000000006,11.722999999999999,S0
89,86.627,9.995999999999995,0.8780000000000001,40.147,23.876000000000005,18.043000000000006,12.722999999999999,S0
90,87.627,10.995999999999995,1.8780000000000001,41.147,0.5729999999999933,19.043000000000006,13.722999999999999,S0
91,88.627,11.995999999999995,2.878,42.147,1.5729999999999933,20.043000000000006,14.722999999999999,S0
92,89.627,12.995999999999995,3.878,43.147,2.5729999999999933,21.043000000000006,15.722999999999999,S0
93,90.627,13.995999999999995,4.878,44.147,3.5729999999999933,22.043000000000006,16.723,S0
94,91.627,14.995999999999995,5.878,45.147,4.572999999999993,23.043000000000006,17.723,S0
95,92.627,15.995999999999995,6.878,46.147,5.572999999999993,24.043000000000006,18.723,S0
96,93.627,16.995999999999995,7.878,47.147,6.572999999999993,0.813999999999993,19.723,S0
97,94.627,17.995999999999995,0.32500000000000284,48.147,7.572999999999993,1.813999999999993,20.723,S0
98,95.627,18.995999999999995,1.3250000000000028,49.147,8.572999999999993,2.813999999999993,21.723,S0
99,96.627,19.995999999999995,2.325000000000003,50.147,0.055999999999997385,3.813999999999993,22.723,S0
100,97.627,20.995999999999995,0.8599999999999994,51.147,1.0559999999999974,4.813999999999993,0.7960000000000065,S0
101,98.627,21.995999999999995,1.8599999999999994,52.147,2.0559999999999974,5.813999999999993,1.7960000000000065,S0
102,99.627,22.995999999999995,2.8599999999999994,53.147,3.0559999999999974,6.813999999999993,2.7960000000000065,S0
103,100.627,23.995999999999995,3.8599999999999994,54.147,4.055999999999997,7.813999999999993,3.7960000000000065,S0
104,101.627,24.995999999999995,4.859999999999999,55.147,5.055999999999997,8.813999999999993,4.7960000000000065,S0
105,102.627,25.995999999999995,5.859999999999999,56.147,6.055999999999997,9.813999999999993,5.7960000000000065,S0
106,103.627,26.995999999999995,6.859999999999999,57.147,7.055999999999997,10.813999999999993,0.40500000000000114,S0
107,104.627,27.995999999999995,7.859999999999999,58.147,8.055999999999997,11.813999999999993,1.4050000000000011,S0
108,105.627,28.995999999999995,8.86,59.147,9.055999999999997,12.813999999999993,2.405000000000001,S0
109,106.627,29.995999999999995,9.86,60.147,0.7860000000000014,13.813999999999993,3.405000000000001,S0
110,107.627,30.995999999999995,10.86,61.147,1.7860000000000014,14.813999999999993,4.405000000000001,S0
111,108.627,31.995999999999995,11.86,62.147,2.7860000000000014,15.813999999999993,5.405000000000001,S0
112,109.627,32.995999999999995,12.86,63.147,3.7860000000000014,16.813999999999993,6.405000000000001,S0
113,110.627,33.995999999999995,13.86,64.14699999999999,4.786000000000001,17.813999999999993,7.405000000000001,S0
114,111.627,34.995999999999995,14.86,65.14699999999999,5.786000000000001,18.813999999999993,8.405000000000001,S0
115,112.627,35.995999999999995,15.86,66.14699999999999,6.786000000000001,19.813999999999993,9.405000000000001,S0
116,113.627,36.995999999999995,16.86,67.14699999999999,7.786000000000001,20.813999999999993,10.405000000000001,S0
117,114.627,37.995999999999995,17.86,68.14699999999999,8.786000000000001,21.813999999999993,11.405000000000001,S0
118,115.627,38.995999999999995,18.86,69.14699999999999,9.786000000000001,22.813999999999993,12.405000000000001,S0
119,116.627,39.995999999999995,19.86,70.14699999999999,10.786000000000001,23.813999999999993,13.405000000000001,S0
120,117.627,40.995999999999995,20.86,71.14699999999999,11.786000000000001,24.813999999999993,14.405000000000001,S0
121,118.627,41.995999999999995,21.86,72.14699999999999,12.786000000000001,25.813999999999993,15.405000000000001,S0
122,119.627,42.995999999999995,22.86,73.14699999999999,13.786000000000001,0.049000000000006594,16.405,S0
123,120.627,43.995999999999995,23.86,74.14699999999999,14.786000000000001,1.0490000000000066,17.405,S0
124,121.627,44.995999999999995,24.86,75.14699999999999,15.786000000000001,2.0490000000000066,18.405,S0
125,122.627,45.995999999999995,25.86,76.14699999999999,16.786,3.0490000000000066,0.1910000000000025,S0
126,123.627,46.995999999999995,0.33100000000000307,77.14699999999999,17.786,4.049000000000007,1.1910000000000025,S0
127,124.627,47.995999999999995,1.331000000000003,78.14699999999999,18.786,5.049000000000007,2.1910000000000025,S0
128,125.627,48.995999999999995,2.331000000000003,79.14699999999999,19.786,6.049000000000007,3.1910000000000025,S0
129,126.627,49.995999999999995,3.331000000000003,80.14699999999999,20.786,7.049000000000007,0.2990000000000066,S0
130,127.627,50.995999999999995,4.331000000000003,81.14699999999999,21.786,8.049000000000007,1.2990000000000066,S0
131,128.627,51.995999999999995,5.331000000000003,0.5829999999999984,22.786,9.049000000000007,2.2990000000000066,S0
132,129.627,52.995999999999995,6.331000000000003,1.5829999999999984,23.786,10.049000000000007,3.2990000000000066,S0
133,130.627,53.995999999999995,7.331000000000003,2.5829999999999984,24.786,11.049000000000007,4.299000000000007,S0
134,131.627,54.995999999999995,8.331000000000003,3.5829999999999984,25.786,12.049000000000007,0.14300000000000068,S0
135,132.627,55.995999999999995,9.331000000000003,4.582999999999998,26.786,13.049000000000007,1.1430000000000007,S0
136,133.627,56.995999999999995,10.331000000000003,5.582999999999998,27.786,14.049000000000007,2.1430000000000007,S0
137,134.627,57.995999999999995,11.331000000000003,6.582999999999998,28.786,15.049000000000007,3.1430000000000007,S0
138,135.627,58.995999999999995,12.331000000000003,7.582999999999998,29.786,16.049000000000007,4.143000000000001,S0
139,136.627,59.995999999999995,13.331000000000003,8.582999999999998,0.06999999999999318,17.049000000000007,5.143000000000001,S0
140,137.627,60.995999999999995,14.331000000000003,9.582999999999998,1.0699999999999932,18.049000000000007,6.143000000000001,S0
141,138.627,61.995999999999995,15.331000000000003,10.582999999999998,2.069999999999993,19.049000000000007,7.143000000000001,S0
142,139.627,62.995999999999995,16.331000000000003,11.582999999999998,3.069999999999993,20.049000000000007,8.143,S0
143,140.627,63.995999999999995,17.331000000000003,12.582999999999998,4.069999999999993,0.4170000000000016,0.5989999999999895,S0
144,141.627,64.996,18.331000000000003,13.582999999999998,5.069999999999993,1.4170000000000016,1.5989999999999895,S0
145,142.627,65.996,19.331000000000003,14.582999999999998,6.069999999999993,2.4170000000000016,2.5989999999999895,S0
146,143.627,66.996,20.331000000000003,15.582999999999998,7.069999999999993,3.4170000000000016,3.5989999999999895,S0
147,144.627,67.996,21.331000000000003,16.583,8.069999999999993,4.417000000000002,4.5989999999999895,S0
148,145.627,68.996,22.331000000000003,17.583,9.069999999999993,5.417000000000002,0.5809999999999889,S0
149,146.627,69.996,23.331000000000003,0.16300000000001091,10.069999999999993,6.417000000000002,1.5809999999999889,S0
150,147.627,70.996,24.331000000000003,1.163000000000011,11.069999999999993,7.417000000000002,2.580999999999989,S0
151,148.627,71.996,25.331000000000003,2.163000000000011,12.069999999999993,8.417000000000002,3.580999999999989,S0
152,149.627,72.996,26.331000000000003,3.163000000000011,13.069999999999993,9.417000000000002,4.580999999999989,S0
153,150.627,73.996,27.331000000000003,4.163000000000011,14.069999999999993,0.41499999999999204,5.580999999999989,S0
154,151.627,74.996,28.331000000000003,5.163000000000011,0.242999999999995,1.414999999999992,6.580999999999989,S0
155,152.627,75.996,29.331000000000003,6.163000000000011,1.242999999999995,2.414999999999992,7.580999999999989,S0
156,153.627,76.996,30.331000000000003,7.163000000000011,2.242999999999995,3.414999999999992,0.008000000000009777,S0
157,154.627,77.996,31.331000000000003,8.163000000000011,3.242999999999995,4.414999999999992,1.0080000000000098,S0
158,155.627,78.996,32.331,9.163000000000011,4.242999999999995,0.257000000000005,2.0080000000000098,S0
159,156.627,79.996,33.331,0.0800000000000125,5.242999999999995,1.257000000000005,3.0080000000000098,S0
160,157.627,80.996,34.331,1.0800000000000125,6.242999999999995,2.257000000000005,4.00800000000001,S0
161,158.627,81.996,35.331,2.0800000000000125,7.242999999999995,3.257000000000005,5.00800000000001,S0
162,159.627,82.996,36.331,3.0800000000000125,8.242999999999995,4.257000000000005,0.257000000000005,S0
163,160.627,83.996,37.331,4.0800000000000125,0.7529999999999859,5.257000000000005,1.257000000000005,S0
164,161.627,84.996,38.331,5.0800000000000125,1.752999999999986,6.257000000000005,2.257000000000005,S0
165,162.627,85.996,39.331,6.0800000000000125,2.752999999999986,7.257000000000005,3.257000000000005,S0
166,163.627,86.996,40.331,7.0800000000000125,3.752999999999986,0.21999999999999886,4.257000000000005,S0
167,164.627,87.996,41.331,0.9329999999999927,4.752999999999986,1.2199999999999989,5.257000000000005,S0
168,165.627,0.9509999999999934,42.331,1.9329999999999927,5.752999999999986,2.219999999999999,6.257000000000005,S0
169,166.627,1.9509999999999934,43.331,2.9329999999999927,6.752999999999986,3.219999999999999,7.257000000000005,S0
170,167.627,2.9509999999999934,44.331,3.9329999999999927,7.752999999999986,4.219999999999999,0.8660000000000139,S0
171,168.627,3.9509999999999934,45.331,4.932999999999993,8.752999999999986,5.219999999999999,1.8660000000000139,S0
172,169.627,4.950999999999993,46.331,5.932999999999993,0.12899999999999068,6.219999999999999,2.866000000000014,S0
173,170.627,5.950999999999993,47.331,6.932999999999993,1.1289999999999907,7.219999999999999,3.866000000000014,S0
174,171.627,6.950999999999993,48.331,7.932999999999993,2.1289999999999907,8.219999999999999,4.866000000000014,S0
175,172.627,0.16499999999999204,49.331,8.932999999999993,3.1289999999999907,9.219999999999999,5.866000000000014,S0
176,173.627,1.164999999999992,50.331,9.932999999999993,4.128999999999991,10.219999999999999,6.866000000000014,S0
177,174.627,2.164999999999992,51.331,10.932999999999993,5.128999999999991,0.2909999999999968,7.866000000000014,S0
178,175.627,3.164999999999992,52.331,11.932999999999993,6.128999999999991,1.2909999999999968,8.866000000000014,S0
179,176.627,4.164999999999992,53.331,12.932999999999993,7.128999999999991,2.290999999999997,9.866000000000014,S0
180,177.627,5.164999999999992,54.331,13.932999999999993,8.12899999999999,3.290999999999997,10.866000000000014,S0
181,178.627,6.164999999999992,55.331,14.932999999999993,9.12899999999999,4.290999999999997,11.866000000000014,S0
182,179.627,7.164999999999992,56.331,15.932999999999993,10.12899999999999,5.290999999999997,12.866000000000014,S0
