,S0,S1,S2,S3,S4,S5,S6,bottleneck
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,0.6230000000000002,0.5779999999999998,0.5779999999999998,3.0,3.0,S0
4,4.0,4.0,1.6230000000000002,1.5779999999999998,1.5779999999999998,4.0,4.0,S0
5,0.18299999999999983,0.18299999999999983,2.623,2.578,2.578,5.0,5.0,S5
6,1.1829999999999998,1.1829999999999998,3.623,3.578,3.578,6.0,6.0,S5
7,2.183,2.183,4.623,4.577999999999999,4.577999999999999,7.0,7.0,S5
8,3.183,3.183,0.6689999999999996,5.577999999999999,5.577999999999999,8.0,8.0,S5
9,4.183,4.183,1.6689999999999996,6.577999999999999,0.7989999999999995,9.0,9.0,S5
10,5.183,5.183,2.6689999999999996,7.577999999999999,1.7989999999999995,0.9580000000000002,0.9580000000000002,S3
11,6.183,6.183,3.6689999999999996,8.578,2.7989999999999995,1.9580000000000002,1.9580000000000002,S3
12,7.183,7.183,4.669,9.578,3.7989999999999995,2.958,2.958,S3
13,8.183,8.183,5.669,10.578,4.7989999999999995,3.958,3.958,S3
14,9.183,0.6010000000000009,6.669,11.578,5.7989999999999995,4.958,4.958,S3
15,10.183,1.6010000000000009,7.669,12.578,6.7989999999999995,5.958,0.9209999999999994,S3
16,11.183,2.601000000000001,8.669,13.578,7.7989999999999995,6.958,1.9209999999999994,S3
17,12.183,3.601000000000001,9.669,14.578,8.799,7.958,2.9209999999999994,S3
18,13.183,4.601000000000001,10.669,0.15899999999999892,9.799,8.958,3.9209999999999994,S0
19,14.183,5.601000000000001,11.669,1.158999999999999,10.799,9.958,4.920999999999999,S0
20,15.183,6.601000000000001,12.669,2.158999999999999,11.799,10.958,5.920999999999999,S0
21,16.183,7.601000000000001,13.669,3.158999999999999,12.799,11.958,6.920999999999999,S0
22,17.183,8.601,14.669,4.158999999999999,13.799,12.958,7.920999999999999,S0
23,18.183,9.601,15.669,5.158999999999999,14.799,13.958,8.921,S0
24,19.183,10.601,16.669,6.158999999999999,15.799,14.958,9.921,S0
25,20.183,0.4469999999999992,17.669,7.158999999999999,16.799,15.958,10.921,S0
26,21.183,1.4469999999999992,18.669,8.158999999999999,17.799,0.28500000000000014,11.921,S0
27,22.183,2.446999999999999,19.669,0.0519999999999996,0.48499999999999943,1.2850000000000001,12.921,S0
28,23.183,3.446999999999999,20.669,1.0519999999999996,1.4849999999999994,2.285,13.921,S0
29,24.183,4.446999999999999,21.669,2.0519999999999996,2.4849999999999994,3.285,14.921,S0
30,25.183,5.446999999999999,22.669,3.0519999999999996,0.06899999999999906,4.285,15.921,S0
31,26.183,6.446999999999999,0.2839999999999989,4.052,1.068999999999999,5.285,16.921,S0
