t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
0,5,1,job start
0,6,1,job start
2.524,5,1,job finish
2.525,4,1,job finish
2.525,5,2,job start
2.531,2,1,job finish
2.876,6,1,job finish
2.876,6,2,job start
3.425,3,1,job finish
3.425,4,2,job start
3.425,3,2,job start
4.842,0,1,job finish
4.842,0,2,job start
4.937,5,2,job finish
5.695,4,2,job finish
5.695,5,3,job start
6.558,3,2,job finish
6.558,4,3,job start
7.264,1,1,job finish
7.264,2,2,job start
7.264,1,2,job start
7.524,6,2,job finish
7.524,6,3,job start
7.662,0,2,job finish
7.662,0,3,job start
9.929,2,2,job finish
9.929,3,3,job start
9.995,6,3,job finish
10.072,4,3,job finish
10.36,0,3,job finish
10.36,0,4,job start
12.033,3,3,job finish
12.033,4,4,job start
12.821,0,4,job finish
12.821,0,5,job start
15.186,4,4,job finish
16.574,1,2,job finish
16.574,2,3,job start
16.574,1,3,job start
16.666,5,3,job finish
16.666,6,4,job start
16.666,5,4,job start
17.003,0,5,job finish
17.003,0,6,job start
18.914,2,3,job finish
18.914,3,4,job start
19.307,6,4,job finish
21.264,3,4,job finish
21.264,4,5,job start
21.841,1,3,job finish
21.841,2,4,job start
21.841,1,4,job start
22.555,0,6,job finish
22.555,0,7,job start
23.634,5,4,job finish
23.634,6,5,job start
23.634,5,5,job start
24.02,4,5,job finish
24.915,2,4,job finish
24.915,3,5,job start
25.582,0,7,job finish
25.582,0,8,job start
25.859,1,4,job finish
25.859,2,5,job start
25.859,1,5,job start
28.014,2,5,job finish
28.263,1,5,job finish
28.263,2,6,job start
28.263,1,6,job start
28.796,5,5,job finish
28.796,5,6,job start
29.798,3,5,job finish
29.798,4,6,job start
29.798,3,6,job start
30.0,6,5,job finish
30.0,6,6,job start
31.727,5,6,job finish
32.028,1,6,job finish
32.028,1,7,job start
32.087,4,6,job finish
32.087,5,7,job start
33.1,2,6,job finish
33.1,2,7,job start
33.761,3,6,job finish
33.761,4,7,job start
33.761,3,7,job start
34.935,1,7,job finish
34.935,1,8,job start
36.044,3,7,job finish
36.32,4,7,job finish
36.32,4,8,job start
36.465,5,7,job finish
36.465,5,8,job start
36.62,6,6,job finish
36.62,6,7,job start
37.632,0,8,job finish
37.632,0,9,job start
38.648,1,8,job finish
38.648,1,9,job start
38.733,2,7,job finish
38.733,3,8,job start
38.733,2,8,job start
38.905,5,8,job finish
41.91,0,9,job finish
41.91,0,10,job start
42.171,1,9,job finish
42.171,1,10,job start
42.549,6,7,job finish
42.549,6,8,job start
43.455,2,8,job finish
43.455,2,9,job start
44.36,1,10,job finish
44.74,0,10,job finish
44.74,1,11,job start
44.74,0,11,job start
45.206,6,8,job finish
45.206,6,9,job start
47.54,3,8,job finish
47.54,3,9,job start
47.817,2,9,job finish
47.817,2,10,job start
47.992,6,9,job finish
48.917,1,11,job finish
50.2,3,9,job finish
50.2,3,10,job start
50.879,0,11,job finish
50.879,1,12,job start
50.879,0,12,job start
52.83,2,10,job finish
52.83,2,11,job start
55.15,2,11,job finish
55.15,2,12,job start
56.244,1,12,job finish
56.661,3,10,job finish
56.661,3,11,job start
57.074,4,8,job finish
57.074,5,9,job start
57.074,4,9,job start
57.599,2,12,job finish
57.599,2,13,job start
58.044,0,12,job finish
58.044,1,13,job start
58.044,0,13,job start
58.674,3,11,job finish
58.674,3,12,job start
60.438,4,9,job finish
60.438,4,10,job start
60.617,5,9,job finish
60.617,6,10,job start
60.617,5,10,job start
62.878,0,13,job finish
62.878,0,14,job start
62.923,1,13,job finish
62.923,1,14,job start
62.938,6,10,job finish
63.149,3,12,job finish
63.149,3,13,job start
63.276,4,10,job finish
63.276,4,11,job start
64.162,2,13,job finish
64.162,2,14,job start
65.126,1,14,job finish
65.532,5,10,job finish
65.532,6,11,job start
65.532,5,11,job start
67.28,2,14,job finish
67.28,2,15,job start
68.512,4,11,job finish
68.512,4,12,job start
69.204,0,14,job finish
69.204,1,15,job start
69.204,0,15,job start
69.355,3,13,job finish
69.355,3,14,job start
69.685,2,15,job finish
70.187,5,11,job finish
70.187,5,12,job start
