,S0,S1,S2,S3,S4,S5,S6,bottleneck
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,S0
4,4.0,4.0,0.2639999999999998,4.0,4.0,4.0,4.0,S0
5,0.359,0.359,1.2639999999999998,0.9699999999999998,5.0,5.0,0.8970000000000002,S4
6,1.359,1.359,2.264,1.9699999999999998,6.0,6.0,1.8970000000000002,S4
7,2.359,2.359,3.264,2.9699999999999998,0.006999999999999673,0.006999999999999673,2.8970000000000002,S2
8,3.359,0.15700000000000003,4.263999999999999,3.9699999999999998,1.0069999999999997,1.0069999999999997,3.8970000000000002,S2
9,4.359,1.157,5.263999999999999,4.97,2.0069999999999997,2.0069999999999997,4.897,S2
10,5.359,2.157,6.263999999999999,5.97,3.0069999999999997,3.0069999999999997,5.897,S2
11,6.359,3.157,7.263999999999999,6.97,4.007,4.007,0.2840000000000007,S2
12,7.359,4.157,8.264,7.97,5.007,5.007,1.2840000000000007,S2
13,8.359,5.157,9.264,8.969999999999999,6.007,0.7899999999999991,2.2840000000000007,S2
14,9.359,6.157,10.264,9.969999999999999,7.007,1.7899999999999991,3.2840000000000007,S2
15,10.359,7.157,11.264,10.969999999999999,8.007,2.789999999999999,4.284000000000001,S2
16,11.359,8.157,12.264,0.47000000000000064,9.007,3.789999999999999,0.5449999999999999,S2
17,12.359,9.157,13.264,1.4700000000000006,10.007,4.789999999999999,1.545,S2
18,13.359,0.8129999999999988,14.264,2.4700000000000006,0.01699999999999946,5.789999999999999,2.545,S2
19,14.359,1.8129999999999988,15.264,3.4700000000000006,1.0169999999999995,6.789999999999999,3.545,S2
20,15.359,2.812999999999999,16.264,4.470000000000001,2.0169999999999995,7.789999999999999,4.545,S2
21,16.359,3.812999999999999,17.264,0.7480000000000011,3.0169999999999995,8.79,5.545,S2
22,17.359,4.812999999999999,18.264,1.748000000000001,4.0169999999999995,9.79,0.16100000000000136,S2
23,18.359,0.8060000000000009,19.264,2.748000000000001,5.0169999999999995,10.79,1.1610000000000014,S2
24,19.359,1.806000000000001,20.264,3.748000000000001,0.8520000000000003,11.79,2.1610000000000014,S2
25,20.359,2.806000000000001,21.264,4.748000000000001,1.8520000000000003,12.79,3.1610000000000014,S2
26,21.359,3.806000000000001,22.264,5.748000000000001,2.8520000000000003,0.09799999999999898,4.161000000000001,S2
27,22.359,4.806000000000001,23.264,6.748000000000001,3.8520000000000003,1.097999999999999,5.161000000000001,S2
28,23.359,5.806000000000001,24.264,7.748000000000001,0.18900000000000006,2.097999999999999,6.161000000000001,S2
29,24.359,6.806000000000001,25.264,8.748000000000001,1.189,3.097999999999999,7.161000000000001,S2
