,S0,S1,S2,S3,S4,S5,S6,bottleneck
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,S0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,S0
5,5.0,5.0,0.6360000000000001,5.0,5.0,5.0,5.0,S0
6,0.5830000000000002,0.5830000000000002,1.6360000000000001,6.0,6.0,0.8129999999999997,0.47499999999999964,S3
7,1.5830000000000002,1.5830000000000002,2.636,7.0,7.0,1.8129999999999997,1.4749999999999996,S3
8,2.583,2.583,0.5049999999999999,0.5330000000000004,0.5330000000000004,2.8129999999999997,2.4749999999999996,S5
9,3.583,0.9890000000000008,1.505,1.5330000000000004,1.5330000000000004,3.8129999999999997,3.4749999999999996,S5
10,4.583,1.9890000000000008,2.505,2.5330000000000004,2.5330000000000004,4.813,4.475,S5
11,5.583,2.9890000000000008,3.505,3.5330000000000004,3.5330000000000004,5.813,0.3949999999999996,S5
12,6.583,3.9890000000000008,4.505,4.533,4.533,6.813,1.3949999999999996,S5
13,7.583,4.989000000000001,5.505,5.533,5.533,7.813,2.3949999999999996,S5
14,8.583,0.27699999999999925,6.505,6.533,6.533,0.4939999999999998,3.3949999999999996,S0
15,9.583,1.2769999999999992,7.505,7.533,7.533,1.4939999999999998,4.395,S0
16,10.583,2.2769999999999992,8.504999999999999,8.533000000000001,8.533000000000001,2.4939999999999998,5.395,S0
17,11.583,3.2769999999999992,9.504999999999999,9.533000000000001,9.533000000000001,0.5079999999999991,0.7789999999999999,S0
18,12.583,0.18100000000000094,10.504999999999999,0.5429999999999993,10.533000000000001,1.5079999999999991,1.779,S0
19,13.583,1.181000000000001,11.504999999999999,1.5429999999999993,11.533000000000001,2.507999999999999,2.779,S0
20,14.583,2.181000000000001,12.504999999999999,2.5429999999999993,12.533000000000001,3.507999999999999,3.779,S0
21,15.583,3.181000000000001,13.504999999999999,0.7100000000000009,13.533000000000001,4.507999999999999,4.779,S0
22,16.583,4.181000000000001,14.504999999999999,1.7100000000000009,14.533000000000001,0.6449999999999996,5.779,S0
23,17.583,5.181000000000001,15.504999999999999,2.710000000000001,15.533000000000001,1.6449999999999996,6.779,S0
24,18.583,6.181000000000001,16.505,3.710000000000001,16.533,2.6449999999999996,7.779,S0
25,19.583,7.181000000000001,17.505,4.710000000000001,17.533,3.6449999999999996,8.779,S0
26,20.583,8.181000000000001,18.505,5.710000000000001,18.533,4.645,9.779,S0
27,21.583,9.181000000000001,19.505,6.710000000000001,19.533,5.645,10.779,S0
28,22.583,10.181000000000001,20.505,7.710000000000001,20.533,6.645,11.779,S0
29,23.583,11.181000000000001,21.505,8.71,21.533,0.8249999999999993,12.779,S0
